Brand,Name,Rating,Price,RAM,ROM,Expandable Storage,Screen Size (inch),Screen Size (cm),Rear Cam,Selfie Cam,Battery,Processor,Image Link
LAVA,A1,4.1,"1,099",32,24,32,1.77,4.5,0.3,,800,1 year manufacturer replacement guarantee for Phone and 6 months replacement for accessories in the box,https://rukminim1.flixcart.com/image/312/312/kupuljk0/mobile/u/q/d/a1-2021-lf1000-a1-2021-lava-original-imag7s6nczrge7bg.jpeg?q=70
SAMSUNG,Guru,4.2,"2,022",Expandable,,16,2,5.08,0,,800,0 0 0 208MHz Processor,https://rukminim1.flixcart.com/image/312/312/ke7ff680pkrrdj/mobile/f/j/q/samsung-guru-music-2-sm-b310e-sm-b310e-original-imaeqzu4ycch8hhf.jpeg?q=70
Micromax,X778,3.9,"1,444",32,32,,2.4,6.1,0.3,,2700,One Year manufacturer Warranty,https://rukminim1.flixcart.com/image/312/312/ktn9pjk0/mobile/n/t/q/x778-marsala-x778-micromax-original-imag6xzaacgyza8g.jpeg?q=70
POCO,X5,4.3,"17,999",6,128,1,6.67,16.94,48,13,5000,Qualcomm Snapdragon 695 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/f/e/l/-original-imagnqpndcmxghyq.jpeg?q=70
Infinix,Zero,4.2,"15,999",8,128,2,6.7,17.02,108,60,4500,Mediatek G99 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/v/b/i/-original-imagh2jqhxd7ntzw.jpeg?q=70
realme,10,4.3,"13,999",4,64,1,6.4,16.26,50,16,5000,Mediatek Helio G99 Octa Core Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/9/l/3/-original-imaghgcktmwxthzc.jpeg?q=70
REDMI,10A,4.1,"7,999",3,32,,6.53,16.59,13,,5000,12 months,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/c/p/m/-original-imagdrgp8pkbzccw.jpeg?q=70
POCO,X5,4.3,"17,999",6,128,1,6.67,16.94,48,13,5000,Qualcomm Snapdragon 695 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/8/q/q/-original-imagnqpnkkzmgv7h.jpeg?q=70
REDMI,Note,4.3,"27,999",8,256,,6.67,16.94,50,16,5000,Mediatek Dimensity 1080 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/m/j/o/-original-imaghkvue4yjecju.jpeg?q=70
MOTOROLA,g72,4.1,"16,999",6,128,1,6.55,16.64,108,16,5000,Mediatek Helio G99 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/7/q/x/-original-imaggm6tvdakghdb.jpeg?q=70
DIZO,Star,4,"1,999",32,32,64,2.8,7.11,0.3,,1900,SC6531E Processor,https://rukminim1.flixcart.com/image/312/312/kqpj4i80/mobile/5/m/o/star-500-dh2002-dizo-original-imag4nmsdu5ze5vd.jpeg?q=70
realme,C11,4.4,"7,499",2,32,256,6.5,16.51,8,5,5000,Octa-core Processor,https://rukminim1.flixcart.com/image/312/312/kqjtd3k0/mobile/o/4/x/c11-2021-rmx3231-realme-original-imag4j4yrdt7d9cj.jpeg?q=70
realme,C30s,4.4,"6,999",2,32,1,6.5,16.51,8,5,5000,Unisoc SC9863A/ Unisoc SC9863A1 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/f/g/j/-original-imagg3myshvfpzjb.jpeg?q=70
realme,C30s,4.4,"6,999",2,32,1,6.5,16.51,8,5,5000,Unisoc SC9863A/ Unisoc SC9863A1 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/b/o/n/-original-imagg3myvj6f3pez.jpeg?q=70
REDMI,10A,4,"10,990",6,128,,6.53,16.59,13,,5000,12 Months Warranty,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/f/q/f/-original-imaggz35fsh6jjnh.jpeg?q=70
realme,C11,4.4,"7,499",2,32,256,6.5,16.51,8,5,5000,Octa-core Processor,https://rukminim1.flixcart.com/image/312/312/kqjtd3k0/mobile/s/b/8/c11-2021-rmx3231-realme-original-imag4j4xkqchhfxk.jpeg?q=70
Energizer,Hardcase,3.8,"1,099",32,32,8,2.4,6.1,0.3,,1500,Mediatek MT6261D Processor,https://rukminim1.flixcart.com/image/312/312/ke8uv0w0/mobile/8/k/h/energizer-hardcase-e100-hardcase-e100-original-imafuyprzafvhxax.jpeg?q=70
vivo,Y35,4.4,"17,499",8,128,,6.58,16.71,50,16,5000,Qualcomm Snapdragon 680 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/0/e/z/-original-imaghm9yz8zwvhvz.jpeg?q=70
Infinix,Zero,4.2,"15,999",8,128,2,6.7,17.02,108,60,4500,Mediatek G99 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/d/9/s/-original-imagh2jqkuehwwpf.jpeg?q=70
realme,9i,4.3,"19,999",6,128,1,6.6,16.76,50,8,5000,Mediatek Dimensity 810 5G Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/b/q/s/-original-imaghbeqtgzsfzvc.jpeg?q=70
Infinix,Zero,4.2,"15,999",8,128,2,6.7,17.02,108,60,4500,Mediatek G99 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/d/9/s/-original-imagh2jqkuehwwpf.jpeg?q=70
REDMI,Note,4.3,"29,999",8,256,,6.67,16.94,200,16,4980,Mediatek Dimensity 1080 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/h/h/z/-original-imaghkvufhjsnw7q.jpeg?q=70
Micromax,X778,3.9,"1,490",32,32,,2.4,6.1,0.3,,2700,One Year manufacturer Warranty,https://rukminim1.flixcart.com/image/312/312/ktn9pjk0/mobile/x/i/0/x778-blue-x778-micromax-original-imag6xzacjhkk2sn.jpeg?q=70
Micromax,X778,3.9,"1,444",32,32,,2.4,6.1,0.3,,2700,One Year manufacturer Warranty,https://rukminim1.flixcart.com/image/312/312/ktn9pjk0/mobile/n/t/q/x778-marsala-x778-micromax-original-imag6xzaacgyza8g.jpeg?q=70
SAMSUNG,Galaxy,4.1,"7,299",2,32,,6.5,16.51,8,,5000,"12 Months brand Warranty , Domestic Only",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/j/7/q/galaxy-a03-core-sm-a032fck6ins-samsung-original-imagmb5kvceyb2yc.jpeg?q=70
realme,C11,4.3,"8,999",4,64,256,6.5,16.51,8,5,5000,Octa-core Processor,https://rukminim1.flixcart.com/image/312/312/kqjtd3k0/mobile/o/4/x/c11-2021-rmx3231-realme-original-imag4j4yrdt7d9cj.jpeg?q=70
OnePlus,Nord,4.3,"21,958",8,128,,6.59,16.74,64,,5000,12 months,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/u/a/u/-original-imaggcz87qrge5ac.jpeg?q=70
APPLE,iPhone,4.7,"62,999",128,,,6.1,15.49,12,12,A15,Brand Warranty for 1 Year,https://rukminim1.flixcart.com/image/312/312/l0igvww0/mobile/r/q/m/-original-imagca5ajerqpfjy.jpeg?q=70
REDMI,10A,4.2,"8,349",4,64,,6.53,16.59,13,,5000,12 months,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/3/q/-original-imagdrghswubhh2p.jpeg?q=70
REDMI,10A,4.1,"7,999",3,32,,6.53,16.59,13,,5000,12 months,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/7/a/-original-imagdrghghkneesf.jpeg?q=70
REDMI,Note,4.2,"14,135",6,64,,6.43,16.33,108,,5000,1 Year Warranty,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/m/c/d/-original-imagbwx4pxvedhdp.jpeg?q=70
MOTOROLA,e32,4,"8,999",4,64,1,6.5,16.51,50,8,5000,Mediatek Helio G37 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/j/w/v/-original-imaggsezzjzfcg4h.jpeg?q=70
REDMI,10A,4.1,"7,499",3,32,,6.53,16.59,13,,5000,12 months,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/c/p/m/-original-imagdrgp8pkbzccw.jpeg?q=70
SAMSUNG,GURU,4,"1,614",NA,,,1.52,3.86,800,,1,,https://rukminim1.flixcart.com/image/312/312/kx9as280/mobile/w/d/m/guru-1200-gt-e1215zkains-samsung-original-imag9rbacapgffzg.jpeg?q=70
Nokia,105,4.3,"1,465",4,4,,1.8,4.57,800,,1,,https://rukminim1.flixcart.com/image/312/312/jyxaw7k0/mobile/p/4/5/nokia-105-dual-sim-2017-ta-1034-original-imafa9duv3yf5zmx.jpeg?q=70
REDMI,A1+,4.2,"6,999",2,32,512,6.52,16.56,8,5,5000,Mediatek Helio A22 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/p/a/4/-original-imagjyhymqnhz7fm.jpeg?q=70
REDMI,9i,4.3,"8,999",4,64,512,6.53,16.59,13,5,5000,MediaTek Helio G25 Processor,https://rukminim1.flixcart.com/image/312/312/kesv0y80/mobile/u/h/m/redmi-9i-mzb0818in-original-imafveh4xva2fes2.jpeg?q=70
REDMI,Note,4.3,"27,999",8,256,,6.67,16.94,50,16,5000,Mediatek Dimensity 1080 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/r/o/o/-original-imaghkvuzxkcna4n.jpeg?q=70
LAVA,A3,4.2,"1,299",0,Expandable,32,1.77,4.5,0.3,,2575,1 Year Manufacturer Replacement Guarantee for Phone and 6 Months Replacement for Accessories In the Box,https://rukminim1.flixcart.com/image/312/312/kxc5nrk0/mobile/r/f/q/-original-imag9tfa8tmdfsvq.jpeg?q=70
LAVA,Hero,4.1,918,4,3,32,1.8,4.57,620,,1,,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/5/0/3/hero-600i-auto-call-recording-wireless-fm-with-recording-original-imagkcb2gdbydhfh.jpeg?q=70
REDMI,A1+,4,"7,999",3,32,512,6.52,16.56,8,5,5000,Mediatek Helio A22 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/9/b/-original-imagjyhyrgdtnjjy.jpeg?q=70
Kechaoda,K66,3.9,"1,249",32,64,32,1.8,4.57,1.3,,400,1 Year Brand Service Center Warranty,https://rukminim1.flixcart.com/image/312/312/kr9jafk0/mobile/h/f/0/k66-the-music-house-4-k66-kechaoda-original-imag53k6x8h4grm6.jpeg?q=70
Micromax,X512,3.9,"1,146",56,24,,1.77,4.5,0.3,,1750,1 Year Warranty,https://rukminim1.flixcart.com/image/312/312/kmkxbww0/mobile/g/8/a/x512-x512-micromax-original-imagfg9ycrnpgz5h.jpeg?q=70
REDMI,A1+,4,"7,999",3,32,512,6.52,16.56,8,5,5000,Mediatek Helio A22 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/p/a/4/-original-imagjyhymqnhz7fm.jpeg?q=70
OPPO,A17,4.4,"11,940",4,64,,6.56,16.66,50,5,5000,Mediatek Helio G35 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/z/w/f/a17-cph2477-oppo-original-imagkzfeqpbmy6ye.jpeg?q=70
realme,C33,4.5,"9,999",4,64,1,6.5,16.51,50,5,5000,Unisoc T612 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/e/n/j/-original-imaghuf9vphhbnkc.jpeg?q=70
realme,C33,4.5,"9,999",4,64,1,6.5,16.51,50,5,5000,Unisoc T612 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/9/z/o/-original-imaghuf9guqmb65z.jpeg?q=70
PHILIPS,E125,3.6,"1,339",32,24,16,1.77,4.5,0.3,,2000,SC6531E Processor,https://rukminim1.flixcart.com/image/312/312/ktx9si80/mobile/o/r/j/e125-e125-philips-original-imag76y8dzfjuzky.jpeg?q=70
POCO,C31,4.3,"8,499",3,32,512,6.53,16.59,13,5,5000,MediaTek Helio G35 Processor,https://rukminim1.flixcart.com/image/312/312/ku4ezrk0/mobile/b/o/m/c31-mzb0a0min-poco-original-imag7bzqxekkpkrv.jpeg?q=70
MOTOROLA,e32,4,"8,999",4,64,1,6.5,16.51,50,8,5000,Mediatek Helio G37 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/j/w/v/-original-imaggsezzjzfcg4h.jpeg?q=70
GFive,V8,3.7,749,32,32,,1.8,4.57,0.3,,1000,1 YEAR SERVICE CENTER WARRANTY,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/h/j/z/-original-imagmy7mkwyskxva.jpeg?q=70
Infinix,Smart,4.3,"6,999",2,64,512,6.6,16.76,8,5,5000,Mediatek Helio A22 Processor,https://rukminim1.flixcart.com/image/312/312/l2f20sw0/mobile/b/u/0/-original-imagdrsysyqztnhh.jpeg?q=70
I,Kall,3.6,744,32,32,,1.77,4.5,0.3,,1000,1 Year warranty for device and 6 Months for box accessories,https://rukminim1.flixcart.com/image/312/312/ks7tuvk0/mobile/m/c/q/k3310-k3310-i-kall-original-imag5ufq6sumfegq.jpeg?q=70
SAMSUNG,Galaxy,4.1,"9,878",4,128,,6.5,16.51,13,,5000,MediaTek Helio P35 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/9/n/h/galaxy-m04-sm-m045f-samsung-original-imagh8ghfyxznzyu.jpeg?q=70
Kechaoda,A26,4.1,"1,090",32,32,16,0.66,1.68,800,,1,,https://rukminim1.flixcart.com/image/312/312/jseyoi80/mobile/3/r/p/kechaoda-a26-a26-original-imafdzm2sm6t6qvm.jpeg?q=70
Infinix,Smart,4.3,"6,999",2,64,512,6.6,16.76,8,5,5000,Mediatek Helio A22 Processor,https://rukminim1.flixcart.com/image/312/312/l2f20sw0/mobile/d/l/i/-original-imagdru482pvwhvz.jpeg?q=70
Infinix,Smart,4.3,"6,999",2,64,512,6.6,16.76,8,5,5000,Mediatek Helio A22 Processor,https://rukminim1.flixcart.com/image/312/312/l2ghgnk0/mobile/w/h/u/-original-imagdsgfunpct2zt.jpeg?q=70
REDMI,A1+,4,"7,999",3,32,512,6.52,16.56,8,5,5000,Mediatek Helio A22 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/9/j/r/-original-imagjyhyaf7tdxnc.jpeg?q=70
POCO,X5,4.2,"19,999",8,256,1,6.67,16.94,48,13,5000,Qualcomm Snapdragon 695 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/f/e/l/-original-imagnqpndcmxghyq.jpeg?q=70
Nokia,125,4,"2,235",4,4,,2.4,6.1,1020,,MediaTek,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase,https://rukminim1.flixcart.com/image/312/312/kfmv9u80/mobile/p/p/w/nokia-125-12gmnb21a02-original-imafwfrfc3s2gayp.jpeg?q=70
realme,C33,4.5,"9,999",4,64,1,6.5,16.51,50,5,5000,Unisoc T612 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/w/o/s/-original-imaghuf9mryjhf3m.jpeg?q=70
Micromax,X413,4,945,32,32,,1.77,4.5,0.3,,800,One Year manufacturer Warranty,https://rukminim1.flixcart.com/image/312/312/ktn9pjk0/mobile/r/t/m/x413-blue-x413-micromax-original-imag6xzak7k4gjrg.jpeg?q=70
realme,10,4.3,"16,999",8,128,1,6.4,16.26,50,16,5000,Mediatek Helio G99 Octa Core Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/9/l/3/-original-imaghgcktmwxthzc.jpeg?q=70
LAVA,GEM,4.2,"1,647",0,Expandable,32,2.8,7.11,1.3,,1750,NA Processor,https://rukminim1.flixcart.com/image/312/312/jyq5oy80/mobile/f/g/t/lava-gem-gem-original-imaff97jugshezbm.jpeg?q=70
SAMSUNG,Galaxy,4.2,"18,827",8,128,,6.6,16.76,50,,6000,1 Year Warranty,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/o/w/a/-original-imagdc87gdyremd3.jpeg?q=70
Micromax,X818,3.9,"1,549",32,32,,2.8,7.11,0.3,,1450,One Year manufacturer Warranty,https://rukminim1.flixcart.com/image/312/312/ktn9pjk0/mobile/t/m/v/x818-blue-x818-micromax-original-imag6xza45eps29y.jpeg?q=70
Kechaoda,K60,4,"1,849",32,32,16,2.4,6.1,0.3,0.3,3600,1 Year Manufacturer Warranty,https://rukminim1.flixcart.com/image/312/312/jqo3b0w0/mobile/x/2/y/kechaoda-k60-k60-original-imafckmsd5brfs78.jpeg?q=70
vivo,T1,4.3,"18,999",8,128,1,6.44,16.36,50,16,5000,Qualcomm Snapdragon 680 Processor,https://rukminim1.flixcart.com/image/312/312/l2p23rk0/mobile/s/4/3/-original-imagdznhcbdfwfud.jpeg?q=70
POCO,M4,4.3,"16,999",6,128,1,6.6,16.76,50,16,5000,Mediatek Dimensity 810 Processor,https://rukminim1.flixcart.com/image/312/312/l0igvww0/mobile/i/m/b/-original-imagcafg8zjz4rej.jpeg?q=70
REDMI,Note,4.2,"14,850",6,128,,6.43,16.33,50,,5000,12 months,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/m/e/y/-original-imagbgaqje2mygjm.jpeg?q=70
REDMI,Note,4.2,"12,842",6,64,,6.43,16.33,50,,5000,12 Months Warranty,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/z/u/k/-original-imagbh8dmpjfzrjw.jpeg?q=70
REDMI,Note,4.2,"12,365",6,64,,6.43,16.33,50,,5000,12 Months Warranty,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/m/e/y/-original-imagbgaqje2mygjm.jpeg?q=70
REDMI,Note,4.2,"11,901",6,64,,6.43,16.33,50,,5000,1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/w/i/h/-original-imaggghwgnzxzzvm.jpeg?q=70
realme,Narzo,4,"10,469",4,64,512,6.6,16.76,50,8,5000,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/f/m/q/narzo-50a-prime-rmx3516-realme-original-imaggggbntpxjmrv.jpeg?q=70
Infinix,Smart,4.3,"6,999",2,64,512,6.6,16.76,8,5,5000,Mediatek Helio A22 Processor,https://rukminim1.flixcart.com/image/312/312/l2f20sw0/mobile/b/u/0/-original-imagdrsysyqztnhh.jpeg?q=70
REDMI,Note,4.2,"15,498",6,128,,6.43,16.33,108,,5000,1 Year Warranty,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/8/a/-original-imagbwx4ahgqxgg9.jpeg?q=70
I,Kall,3.6,774,32,32,,1.8,4.57,0.3,,1500,1 Year manufacturing warranty for mobile and 6 months for accessories,https://rukminim1.flixcart.com/image/312/312/k1pbpu80pkrrdj/mobile/k/p/h/i-kall-k-48-k-48-original-imafh2b4njp7kg8r.jpeg?q=70
Infinix,Smart,4.3,"6,999",2,64,512,6.6,16.76,8,5,5000,Mediatek Helio A22 Processor,https://rukminim1.flixcart.com/image/312/312/l2f20sw0/mobile/d/l/i/-original-imagdru482pvwhvz.jpeg?q=70
Infinix,Smart,4.3,"6,999",2,64,512,6.6,16.76,8,5,5000,Mediatek Helio A22 Processor,https://rukminim1.flixcart.com/image/312/312/l2ghgnk0/mobile/w/h/u/-original-imagdsgfunpct2zt.jpeg?q=70
Micromax,X413,4,945,32,32,,1.77,4.5,0.3,,800,One Year manufacturer Warranty,https://rukminim1.flixcart.com/image/312/312/ktn9pjk0/mobile/r/t/m/x413-blue-x413-micromax-original-imag6xzak7k4gjrg.jpeg?q=70
Kechaoda,K115,4.1,"1,180",32,32,,1.44,3.66,0.3,,850,6 Months,https://rukminim1.flixcart.com/image/312/312/jyxaw7k0/mobile/k/m/v/kechaoda-k115-k115-original-imafgrt4cpkmdsgk.jpeg?q=70
Kechaoda,K115,4.1,"1,149",32,32,,1.44,3.66,0.3,,850,6 Months,https://rukminim1.flixcart.com/image/312/312/kd69z0w0/mobile/g/c/y/kechaoda-k115-k115-original-imafu5a9j8fhzzpc.jpeg?q=70
POCO,X5,4.2,"19,999",8,256,1,6.67,16.94,48,13,5000,Qualcomm Snapdragon 695 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/8/q/q/-original-imagnqpnkkzmgv7h.jpeg?q=70
DIZO,Star,4,"1,979",32,32,64,2.8,7.11,0.3,,1900,SC6531E Processor,https://rukminim1.flixcart.com/image/312/312/kqpj4i80/mobile/i/i/w/star-500-dh2002-dizo-original-imag4nms4vszgxtz.jpeg?q=70
LAVA,Flip,4.2,"1,899",56,56,,2.4,6.1,0.08,,1200,1 YEAR BRAND WARANTY FOR MOBILE AND SIX MONTH WARANTY FOR ALL ITS ASSESARY,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/h/d/5/flip-flip-lava-original-imagghmqxhxqyzhh.jpeg?q=70
I,Kall,3.6,744,32,32,,1.77,4.5,0.3,,1000,1 Year warranty for device and 6 Months for box accessories,https://rukminim1.flixcart.com/image/312/312/ks7tuvk0/mobile/m/c/q/k3310-k3310-i-kall-original-imag5ufq6sumfegq.jpeg?q=70
GREENBERRI,F1,4,"1,299",64,64,32,1.8,4.57,2,,1050,1 Year,https://rukminim1.flixcart.com/image/312/312/kltryq80/mobile/t/2/9/f1-f1-greenberri-original-imagyvay764gdgdg.jpeg?q=70
REDMI,10A,4,"10,490",6,128,,6.53,16.59,13,,5000,12 Months Warranty,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/p/u/m/-original-imaggz3mbxhyesnc.jpeg?q=70
GREENBERRI,F1,4,"1,399",64,64,32,1.8,4.57,2,,1050,1 Year,https://rukminim1.flixcart.com/image/312/312/kmmcrrk0/mobile/f/n/r/f1-f1-greenberri-original-imagfh9vc6bz4fjz.jpeg?q=70
Infinix,Note,4.2,"16,999",8,256,2,6.7,17.02,108,16,5000,Mediatek Helio G99 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/h/x/l/-original-imaghh2fggashufd.jpeg?q=70
Infinix,Note,4.2,"16,999",8,256,2,6.7,17.02,108,16,5000,Mediatek Helio G99 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/l/n/k/-original-imaghh2fdhsasbdh.jpeg?q=70
GREENBERRI,F1,4,"1,299",64,64,32,1.8,4.57,2,,1050,1 Year,https://rukminim1.flixcart.com/image/312/312/kmmcrrk0/mobile/f/b/o/f1-f1-greenberri-original-imagfh9wjymgmvue.jpeg?q=70
realme,10,4.3,"16,999",8,128,1,6.4,16.26,50,16,5000,Mediatek Helio G99 Octa Core Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/1/7/l/-original-imaghgcj2z5cfugg.jpeg?q=70
REDMI,A1+,4,"7,999",3,32,512,6.52,16.56,8,5,5000,Mediatek Helio A22 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/p/a/4/-original-imagjyhymqnhz7fm.jpeg?q=70
DIZO,Star,3.9,"1,499",32,32,64,1.77,4.5,0.3,,2550,SC6531E Processor,https://rukminim1.flixcart.com/image/312/312/kqpj4i80/mobile/e/i/r/star-300-dh2001-dizo-original-imag4nmpv7zahzs2.jpeg?q=70
itel,Ace,4,899,4,4,32,1.8,4.57,0,,1000,Spreadtrum Processor,https://rukminim1.flixcart.com/image/312/312/l0zm64w0/mobile/s/o/6/-original-imagcnvd28rmybhh.jpeg?q=70
APPLE,iPhone,4.6,"45,999",128,,,6.1,15.49,12,12,A13,Brand Warranty of 1 Year,https://rukminim1.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/x/j/s/iphone-11-128-d-mwm02hn-a-apple-0-original-imafkg242ugz8hwc.jpeg?q=70
realme,C11,4.3,"8,999",4,64,256,6.5,16.51,8,5,5000,Octa-core Processor,https://rukminim1.flixcart.com/image/312/312/kqjtd3k0/mobile/s/b/8/c11-2021-rmx3231-realme-original-imag4j4xkqchhfxk.jpeg?q=70
Micromax,X413,4,972,32,32,,1.77,4.5,0.3,,800,One Year manufacturer Warranty,https://rukminim1.flixcart.com/image/312/312/ktn9pjk0/mobile/j/m/0/x413-black-x413-micromax-original-imag6xzahzqg9e8p.jpeg?q=70
Infinix,Smart,4.3,"6,999",2,64,512,6.6,16.76,8,5,5000,Mediatek Helio A22 Processor,https://rukminim1.flixcart.com/image/312/312/l2ghgnk0/mobile/k/d/j/-original-imagdsg97gyxpqwz.jpeg?q=70
Eunity,Radium,3.3,679,16,16,16,1.77,4.5,0.3,,1000,7 Day Replacement,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/h/i/z/radium-radium-eunity-original-imagmynxg62tvgf9.jpeg?q=70
POCO,X5,4.2,"19,999",8,256,1,6.67,16.94,48,13,5000,Qualcomm Snapdragon 695 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/f/e/l/-original-imagnqpndcmxghyq.jpeg?q=70
POCO,X5,4.4,"22,999",6,128,,6.67,16.94,108,16,5000,Qualcomm Snapdragon 778G Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/d/s/8/-original-imagmkjf9wqjurgf.jpeg?q=70
realme,C33,4.5,"9,999",4,64,1,6.5,16.51,50,5,5000,Unisoc T612 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/w/o/s/-original-imaghuf9mryjhf3m.jpeg?q=70
realme,C33,4.5,"9,999",4,64,1,6.5,16.51,50,5,5000,Unisoc T612 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/9/z/o/-original-imaghuf9guqmb65z.jpeg?q=70
realme,C33,4.5,"9,999",4,64,1,6.5,16.51,50,5,5000,Unisoc T612 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/e/n/j/-original-imaghuf9vphhbnkc.jpeg?q=70
LAVA,A1,4.1,"1,099",32,24,32,1.77,4.5,0.3,,800,1 Year Manufacturer Replacement Guarantee for Phone and 6 months Replacement for Accessories in the Box,https://rukminim1.flixcart.com/image/312/312/ksj9dow0/mobile/u/p/y/a1-2021-lf1000-lava-original-imag62vfwqkmcf2u.jpeg?q=70
vivo,Y16,4.3,"12,499",4,64,1,6.51,16.54,13,5,5000,Mediatek Helio P35 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/j/v/z/-original-imaggcerjgnshnyw.jpeg?q=70
SAMSUNG,Galaxy,4.2,"18,449",8,128,,6.6,16.76,50,,6000,1 Year Warranty,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/c/3/d/-original-imagdc8mjnhxbgxj.jpeg?q=70
LAVA,Gem,4.2,"1,776",32,32,32,2.8,7.11,1.3,,1750,1 year manufacturer Replacement for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,https://rukminim1.flixcart.com/image/312/312/k3xcdjk0pkrrdj/mobile/h/q/u/lava-gem-gem-original-imafmrg73yqr42bz.jpeg?q=70
vivo,Y16,4.3,"9,999",3,32,1,6.51,16.54,13,5,5000,Mediatek Helio P35 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/r/d/p/-original-imaggcerdxgpxyh3.jpeg?q=70
itel,Muzik,4.1,"1,615",4,4,32,2.4,6.1,0.3,,3000,SC6531E Processor,https://rukminim1.flixcart.com/image/312/312/kingqkw0/mobile/r/k/r/itel-muzik-400-it5092-original-imafye3nsypzcfhs.jpeg?q=70
itel,Muzik,4.1,"1,610",4,4,32,2.4,6.1,0.3,,3000,ARM9 architecture (Single core) Processor,https://rukminim1.flixcart.com/image/312/312/kqidx8w0/mobile/a/x/t/muzik-400-it-5092-itel-original-imag4hhdhkvcyhz9.jpeg?q=70
itel,Ace,4,899,4,4,32,1.8,4.57,0,,1000,Spreadtrum Processor,https://rukminim1.flixcart.com/image/312/312/l0zm64w0/mobile/e/u/u/-original-imagcnvcpwck6dxs.jpeg?q=70
